,Unnamed: 0,PCC,PCD,Sibling_TD,PnCD,dataset,algorithm,iter
0,0.0,-0.2198320041049578,0.676,0.7306666666666666,0.9814814814814816,cordis,hyperminer,0
1,1.0,-0.1906135684750484,0.6906666666666665,0.7426666666666666,0.9854814814814816,cordis,hyperminer,1
2,2.0,-0.1633133104334576,0.6946666666666665,0.712,0.979851851851852,cordis,hyperminer,2
3,3.0,-0.3768461030327067,0.5599999999999999,0.935,0.9942361111111112,cancer,hyperminer,0
4,4.0,-0.4218952758562037,0.5316666666666666,0.93,0.9950694444444445,cancer,hyperminer,1
5,5.0,-0.3959355142198832,0.5483333333333332,0.8966666666666666,0.9932638888888888,cancer,hyperminer,2
6,6.0,-0.450960737837275,0.51,0.89,0.991875,ai,hyperminer,0
7,7.0,-0.4162726470168857,0.5349999999999999,0.9033333333333332,0.9933333333333334,ai,hyperminer,1
8,8.0,-0.541641370871626,0.4516666666666666,0.8616666666666666,0.9913888888888888,ai,hyperminer,2
9,9.0,-0.2800824706212577,0.9786666666666668,0.9986666666666666,0.9995555555555556,cordis,traco,0
10,10.0,-0.2748233366442902,0.9786666666666668,0.9986666666666666,0.999851851851852,cordis,traco,1
11,11.0,-0.2898537875452345,0.98,0.9986666666666666,0.9995555555555556,cordis,traco,2
12,12.0,-0.2568965101002943,0.9133333333333332,0.9983333333333332,0.9998611111111112,cancer,traco,0
13,13.0,-0.2999884899642876,0.8633333333333333,0.9683333333333332,0.9996527777777778,cancer,traco,1
14,14.0,-0.2590124118576543,0.9166666666666666,1.0,0.9997222222222224,cancer,traco,2
15,15.0,-0.2300790499039475,0.935,1.0,0.9997916666666666,ai,traco,0
16,16.0,-0.2319136970445321,0.9316666666666666,0.9966666666666668,0.9997222222222224,ai,traco,1
17,17.0,-0.2310384479803199,0.9283333333333332,1.0,0.9998611111111112,ai,traco,2
0,0.0,-0.0923408793582922,0.9644444444444444,0.9554143126177024,0.9657777777777778,cordis,hpam,0
1,1.0,-0.0518324983754361,0.941111111111111,0.9265065913371,0.964888888888889,cordis,hpam,1
2,2.0,-0.0873482454400859,0.9633333333333334,0.9208757062146896,0.9626666666666668,cordis,hpam,2
3,3.0,-0.2462097993567093,0.9956666666666666,0.9774528784272238,0.9947719298245614,cancer,hpam,0
4,4.0,-0.273212381606475,0.998,0.9804793264568455,0.9966315789473684,cancer,hpam,1
5,5.0,-0.2717643469044447,0.9966666666666666,0.9814288988803668,0.9966140350877194,cancer,hpam,2
6,6.0,-0.160385927785038,0.991,0.968773296306092,0.9912631578947368,ai,hpam,0
7,7.0,-0.1645387302273279,0.9893333333333334,0.957675394516442,0.9912631578947368,ai,hpam,1
8,8.0,-0.1810210734231692,0.9926666666666668,0.9821726174733316,0.992877192982456,ai,hpam,2
9,9.0,-0.0721317947468354,0.9466666666666664,0.9821726174733316,0.0,cordis,hlda,0
10,10.0,-0.0613123160185153,0.9466666666666668,0.9821726174733316,0.0,cordis,hlda,1
11,11.0,-0.066540078273615,0.9587301587301588,0.9821726174733316,0.0,cordis,hlda,2
12,12.0,-0.2063437617864368,0.957446808510638,0.9821726174733316,0.0,cancer,hlda,0
13,13.0,-0.1835856738886963,0.9658119658119656,0.9821726174733316,0.0,cancer,hlda,1
14,14.0,-0.2434612518957826,0.9418439716312051,0.9821726174733316,0.0,cancer,hlda,2
15,15.0,-0.2087307813935417,0.9574468085106378,0.9821726174733316,0.0,ai,hlda,0
16,16.0,-0.1685543769120825,0.9815602836879436,0.9821726174733316,0.0,ai,hlda,1
17,17.0,-0.1713532817926752,0.9452991452991452,0.9821726174733316,0.0,ai,hlda,2
0,,-0.022061134722652524,0.8533333333333334,0.6966666666666667,0.9873333333333335,cordis,ws,0
0,,-0.022040067200118932,0.851111111111111,0.7444444444444445,0.9877777777777779,cordis,ws,1
0,,-0.039862574936293256,0.841111111111111,0.7227777777777777,0.9880000000000001,cordis,ws,2
0,,-0.02543908711619675,0.8494444444444446,0.4558333333333333,0.9828888888888889,cordis,ds,0
0,,-0.025545473226873876,0.8544444444444445,0.5016666666666667,0.9823333333333335,cordis,ds,1
0,,-0.04192402652117388,0.8388888888888889,0.49250000000000005,0.9823333333333335,cordis,ds,2
0,,0.011877860677143456,0.8443333333333334,0.7223333333333333,0.9903859649122807,cancer,ws,0
0,,0.006649989066899395,0.8373333333333334,0.6783333333333333,0.9907543859649123,cancer,ws,1
0,,0.010273928309792625,0.8430000000000001,0.6708333333333334,0.9911052631578948,cancer,ws,2
0,,0.002498870125025742,0.8346666666666667,0.5073333333333333,0.9845263157894736,cancer,ds,0
0,,0.0004875074892384265,0.8325,0.46675,0.9845877192982456,cancer,ds,1
0,,0.006755139227167941,0.8391666666666667,0.4565,0.9849035087719299,cancer,ds,2
