,PCC,PCD,Sibling_TD,PnCD,dataset,algorithm,iter,Unnamed: 0
0,-0.021946784327973645,0.831111111111111,0.6977777777777778,0.9784444444444446,cordis,hyperminer,0,
1,-0.07928377538512543,0.7683333333333334,0.6668333333333334,0.9936315789473684,cancer,hyperminer,0,
2,-0.450960737837275,0.51,0.89,0.9918750000000001,ai,hyperminer,0,
3,-0.2800824706212577,0.9786666666666668,0.9986666666666666,0.9995555555555555,cordis,traco,0,
4,-0.26720606488536175,0.9576666666666667,0.9726666666666668,0.999859649122807,cancer,traco,0,
5,-0.22688144300973956,0.9953333333333333,0.9903333333333335,0.9999298245614036,ai,traco,0,
0,-0.0923408793582922,0.9644444444444444,0.9554143126177024,0.9657777777777778,cordis,hpam,0,0.0
1,-0.0518324983754361,0.941111111111111,0.9265065913371,0.964888888888889,cordis,hpam,1,1.0
2,-0.0873482454400859,0.9633333333333334,0.9208757062146896,0.9626666666666668,cordis,hpam,2,2.0
3,-0.2462097993567093,0.9956666666666666,0.9774528784272238,0.9947719298245614,cancer,hpam,0,3.0
4,-0.273212381606475,0.998,0.9804793264568455,0.9966315789473684,cancer,hpam,1,4.0
5,-0.2717643469044447,0.9966666666666666,0.9814288988803668,0.9966140350877194,cancer,hpam,2,5.0
6,-0.160385927785038,0.991,0.968773296306092,0.9912631578947368,ai,hpam,0,6.0
7,-0.1645387302273279,0.9893333333333334,0.957675394516442,0.9912631578947368,ai,hpam,1,7.0
8,-0.1810210734231692,0.9926666666666668,0.9821726174733316,0.992877192982456,ai,hpam,2,8.0
9,-0.0721317947468354,0.9466666666666664,0.9821726174733316,0.0,cordis,hlda,0,9.0
10,-0.0613123160185153,0.9466666666666668,0.9821726174733316,0.0,cordis,hlda,1,10.0
11,-0.066540078273615,0.9587301587301588,0.9821726174733316,0.0,cordis,hlda,2,11.0
12,-0.2063437617864368,0.957446808510638,0.9821726174733316,0.0,cancer,hlda,0,12.0
13,-0.1835856738886963,0.9658119658119656,0.9821726174733316,0.0,cancer,hlda,1,13.0
14,-0.2434612518957826,0.9418439716312051,0.9821726174733316,0.0,cancer,hlda,2,14.0
15,-0.2087307813935417,0.9574468085106378,0.9821726174733316,0.0,ai,hlda,0,15.0
16,-0.1685543769120825,0.9815602836879436,0.9821726174733316,0.0,ai,hlda,1,16.0
17,-0.1713532817926752,0.9452991452991452,0.9821726174733316,0.0,ai,hlda,2,17.0
0,-0.022061134722652524,0.8533333333333334,0.6966666666666667,0.9873333333333335,cordis,ws,0,
0,-0.022040067200118932,0.851111111111111,0.7444444444444445,0.9877777777777779,cordis,ws,1,
0,-0.039862574936293256,0.841111111111111,0.7227777777777777,0.9880000000000001,cordis,ws,2,
0,-0.02543908711619675,0.8494444444444446,0.4558333333333333,0.9828888888888889,cordis,ds,0,
0,-0.025545473226873876,0.8544444444444445,0.5016666666666667,0.9823333333333335,cordis,ds,1,
0,-0.04192402652117388,0.8388888888888889,0.49250000000000005,0.9823333333333335,cordis,ds,2,
0,0.011877860677143456,0.8443333333333334,0.7223333333333333,0.9903859649122807,cancer,ws,0,
0,0.006649989066899395,0.8373333333333334,0.6783333333333333,0.9907543859649123,cancer,ws,1,
0,0.010273928309792625,0.8430000000000001,0.6708333333333334,0.9911052631578948,cancer,ws,2,
0,0.002498870125025742,0.8346666666666667,0.5073333333333333,0.9845263157894736,cancer,ds,0,
0,0.0004875074892384265,0.8325,0.46675,0.9845877192982456,cancer,ds,1,
0,0.006755139227167941,0.8391666666666667,0.4565,0.9849035087719299,cancer,ds,2,
0,0.004026816574756,0.8056666666666666,0.6703333333333333,0.989701754385965,ai,ws,0,0.0
1,0.0145713507563769,0.8113333333333334,0.6148333333333333,0.9900526315789472,ai,ws,1,1.0
2,0.0132114293317733,0.8106666666666666,0.6763333333333333,0.9895438596491228,ai,ws,2,2.0
3,0.0002322393637817,0.8064978902953587,0.4386075949367088,0.9806601439496176,ai,ds,0,3.0
4,0.0030445331655007,0.8076190476190476,0.4246031746031746,0.9826602947033056,ai,ds,1,4.0
5,0.0061900518458325,0.81,0.4919166666666666,0.9835701754385964,ai,ds,2,5.0
